NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW
00001,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Typical Sunday,9:27 AM,10:57 PM,,,5,5,266,252,14,259,54,50,4,,,266,252,14,54,50,4,"1,241",,,"1,497",58,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Typical Weekday,4:32 AM,1:42 AM,,,10,10,605,586,19,593,119,113,6,,,605,586,19,119,113,6,"2,569",,,"3,051",256,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - AM Peak,5:55 AM,9:57 AM,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - Midday,9:57 AM,2:55 PM,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - Other,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - PM Peak,2:55 PM,7:23 PM,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Annual Total,,,126,174,,,"2,870,606","2,685,561","185,045","3,336,789","428,525","403,910","24,615",,,,,,,,,"7,976,186",,,"14,349,255",,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Typical Saturday,12:00 AM,12:00 AM,,,,71,325,310,15,"6,019",42,40,2,,,,,,,,,"4,345",,,"8,236",27,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Typical Sunday,12:00 AM,12:00 AM,,,,64,292,278,14,"5,409",38,36,2,,,,,,,,,"6,341",,,"12,094",33,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Typical Weekday,12:00 AM,12:00 AM,,,,126,"11,167","10,405",762,"10,648","1,670","1,570",100,,,,,,,,,"30,117",,,"54,046",254,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - AM Peak,5:00 AM,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - Midday,9:00 AM,3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - PM Peak,3:00 PM,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Annual Total,,,"1,038","1,257",,,"3,264,549","3,264,549",0,,"101,881","101,881",0,0,0,,,,,,,"512,160",,,"10,548,410",,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Typical Saturday,12:00 AM,12:00 AM,,,,40,402,402,0,,13,13,0,,,,,,,,,63,,,"1,130",52,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Typical Sunday,12:00 AM,12:00 AM,,,,28,281,281,0,,9,9,0,,,,,,,,,44,,,"1,019",57,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Typical Weekday,12:00 AM,12:00 AM,,,,"1,036","12,608","12,608",0,,393,393,0,,,,,,,,,"1,978",,,"40,748",256,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
