Source: EMFAC2021 (v1.0.2) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year: 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units: miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Statewide Totals,2023,UBUS,2014,Aggregate,Natural Gas,799.8592317,97580.16683,97580.16683,0,3199.436927,0.813483693,0,0,0.000392159,0,0,0.008584695,0.038443697,0.000409891,0,0,0.034338781,0.109839134,2383.899377,0,0,1.766192828,0,0,0.485973483,0,0,0.026040103,0,0,0,0,0,1.803407854,0,0,0,0,0,0.97,31.61486184,0,0,0,0,0
Statewide Totals,2023,UBUS,2015,Aggregate,Gasoline,298.8790779,30442.61071,30442.61071,0,1195.516312,0.190495556,0,0.888402823,0.001021886,0,0.000429537,0.002548837,0.035499771,0.001111395,0,0.000467161,0.010195348,0.101427918,1488.158339,0,79.7452855,0.00357516,0,0.112131898,0.017684432,0,0.087565936,0.011141957,0,0.460142142,0.077525423,0.095692635,0.822365239,0.016258317,0,0.503797726,0.077525423,0.095692635,0.822365239,0.045,0.451610234,0,7.869525427,0.01471196,0,0.000788363
Statewide Totals,2023,UBUS,2015,Aggregate,Diesel,375.4222676,40241.98548,40241.98548,0,1501.68907,0.400645136,0,0,0.006751142,0,0,0.008089632,0.038481888,0.007056399,0,0,0.032358527,0.109948252,1355.353495,0,0,0.003231061,0,0,0.213536495,0,0,0.06956386,0,0,0,0,0,0.079193161,0,0,0,0,0,0.22,0.080408449,0,0,0.012842663,0,0
Statewide Totals,2023,UBUS,2015,Aggregate,Electricity,1.582821502,79.436585,0,79.436585,6.331286009,0,0,0,0,0,0,0.007076441,0.019167936,0,0,0,0.028305763,0.054765531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2015,Aggregate,Natural Gas,663.6789249,75716.09094,75716.09094,0,2654.7157,0.731228348,0,0,0.000392059,0,0,0.00765542,0.038403632,0.000409786,0,0,0.030621681,0.109724662,2254.109971,0,0,1.622460191,0,0,0.459515063,0,0,0.024031497,0,0,0,0,0,1.656767338,0,0,0,0,0,0.97,27.85672092,0,0,0,0,0
Statewide Totals,2023,UBUS,2016,Aggregate,Gasoline,288.8883078,37214.04951,37214.04951,0,1155.553231,0.089799824,0,0.727850661,0.00098223,0,0.000354384,0.002208524,0.033236688,0.001068265,0,0.000385425,0.008834095,0.094961966,960.2298629,0,63.47057169,0.001932207,0,0.087915723,0.009616015,0,0.085896007,0.005789554,0,0.341473465,0.048295906,0.093981607,0.63478477,0.008448103,0,0.373870462,0.048295906,0.093981607,0.63478477,0.045,0.452252939,0,6.855049616,0.00949285,0,0.000627471
Statewide Totals,2023,UBUS,2016,Aggregate,Diesel,285.9970628,34193.77138,34193.77138,0,1143.988251,0.384493047,0,0,0.006943584,0,0,0.00821178,0.038495862,0.007257542,0,0,0.032847122,0.109988176,1136.311632,0,0,0.003196267,0,0,0.17902636,0,0,0.068814754,0,0,0,0,0,0.07834036,0,0,0,0,0,0.22,0.078884586,0,0,0.01076713,0,0
Statewide Totals,2023,UBUS,2016,Aggregate,Electricity,18.0706418,905.2001443,0,905.2001443,72.2825672,0,0,0,0,0,0,0.007956959,0.019243524,0,0,0,0.031827834,0.054981496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2016,Aggregate,Natural Gas,788.8600226,124671.7522,124671.7522,0,3155.44009,0.843850645,0,0,0.00036327,0,0,0.008473821,0.038449979,0.000379695,0,0,0.033895286,0.109857081,2482.438022,0,0,1.824979543,0,0,0.50606123,0,0,0.026767931,0,0,0,0,0,1.863281602,0,0,0,0,0,0.97,32.42940631,0,0,0,0,0
Statewide Totals,2023,UBUS,2017,Aggregate,Gasoline,229.5261244,20957.75344,20957.75344,0,918.1044977,0.14772514,0,0.78102452,0.00127077,0,0.000531824,0.002487678,0.035093066,0.001382079,0,0.000578407,0.009950713,0.100265902,1453.668449,0,78.0801599,0.003439986,0,0.098350392,0.013914273,0,0.083747673,0.010800601,0,0.401820656,0.047792048,0.093814075,0.601120704,0.015760211,0,0.43994304,0.047792048,0.093814075,0.601120704,0.045,0.441981383,0,7.755131451,0.014370993,0,0.000771902
